item	itemLabel	pub	id	mndate	mxdate
http://www.wikidata.org/entity/Q23779930	Pollinarium morphology of Vincetoxicum (Apocynaceae: Asclepiadoideae) in Turkey	2015-10-06T00:00:00Z	Q21387800	2015	2015
http://www.wikidata.org/entity/Q22305739	A Classification for Extant Ferns	2006-08-01T00:00:00Z	Q21388453	2006	2006
http://www.wikidata.org/entity/Q22696313	Zamia incognita (Zamiaceae): the exciting discovery of a new gymnosperm from Colombia	2009-12-31T00:00:00Z	Q21339982	2009	2009
http://www.wikidata.org/entity/Q54599684	Fellhanera Viridisorediata, a New Sorediate Species From Sheltered Trees and Shrubs in Western Europe	1998-01-01T00:00:00Z	Q21340033	1998	1998
http://www.wikidata.org/entity/Q21972837	Reconstructing the early evolution of Fungi using a six-gene phylogeny	2006-10-19T00:00:00Z	Q21340109	2006	2006
http://www.wikidata.org/entity/Q28239986	Phylogenetic position and biogeography of Hillebrandia sandwicensis (Begoniaceae): a rare Hawaiian relict	2004-06-01T00:00:00Z	Q21340119	2004	2014
http://www.wikidata.org/entity/Q51644927	Coccinellidenausbeuten aus Libanon und dem Iran im Museum Genf mit Beschreibung neuer Scymnini-Arten (Col. Cocc.)	1977-01-01T00:00:00Z	Q21340196	1977	2001
http://www.wikidata.org/entity/Q23662641	Underestimated diversity in one of the world’s best studied mountain ranges: The polyploid complex of Senecio carniolicus (Asteraceae) contains four species in the European Alps	2015-06-11T00:00:00Z	Q21391785	2004	2016
http://www.wikidata.org/entity/Q56214137	A karyosystematic study of the genus Bellevalia Lapeyr. (Hyacinthaceae) in Greece	2008-08-01T00:00:00Z	Q21391848	2008	2008
http://www.wikidata.org/entity/Q21284057	Evolutionary history of Serpulaceae (Basidiomycota): molecular phylogeny, historical biogeography and evidence for a single transition of nutritional mode	2011-01-01T00:00:00Z	Q21392176	2006	2011
http://www.wikidata.org/entity/Q22942966	A taxonomic backbone for the global synthesis of species diversity in the angiosperm order Caryophyllales	2015-09-01T00:00:00Z	Q21395811	2015	2015
http://www.wikidata.org/entity/Q54764638	Late Cenozoic diversification of the austral genusLagenophora(Astereae, Asteraceae)	2014-11-26T00:00:00Z	Q21446255	2013	2014
http://www.wikidata.org/entity/Q23407450	Redescription of Tripleurospermum heterolepis (Asteraceae), endemic to Turkey	2015-03-13T00:00:00Z	Q21446567	2015	2015
http://www.wikidata.org/entity/Q28959350	Pteridophytes (And Gymnosperms) of Florida	2002-08-01T00:00:00Z	Q21502575	2002	2002
http://www.wikidata.org/entity/Q21972837	Reconstructing the early evolution of Fungi using a six-gene phylogeny	2006-10-19T00:00:00Z	Q21516102	1997	2006
http://www.wikidata.org/entity/Q21972837	Reconstructing the early evolution of Fungi using a six-gene phylogeny	2006-10-19T00:00:00Z	Q21516101	2006	2006
http://www.wikidata.org/entity/Q21089982	Sebacinales everywhere: previously overlooked ubiquitous fungal endophytes	2011-01-01T00:00:00Z	Q21516543	2009	2011
http://www.wikidata.org/entity/Q23818322	Kemulariella tahirelcii (Asteraceae; Astereae), a new species from Şırnak, Turkey	2016-03-21T00:00:00Z	Q21516412	2008	2018
http://www.wikidata.org/entity/Q21145791	A key commitment step in erythropoiesis is synchronized with the cell cycle clock through mutual inhibition between PU.1 and S-phase progression	2010-01-01T00:00:00Z	Q21516467	2010	2013
http://www.wikidata.org/entity/Q21764168	Two new species of Hoya R.Br. (Apocynaceae, Asclepiadoideae) from Borneo	2015-07-21T00:00:00Z	Q21768434	2015	2015
http://www.wikidata.org/entity/Q21812790	Three new species of Solanum (Brevantherum Clade) endemic to the Brazilian Atlantic Forest	2014-06-04T00:00:00Z	Q21812803	2014	2014
http://www.wikidata.org/entity/Q21192484	Two new desert Eschscholzia (Papaveraceae) from southwestern North America	2014-03-11T00:00:00Z	Q21812804	2014	2014
http://www.wikidata.org/entity/Q21821256	Antrodiella indica, a new species from India	2015-10-09T00:00:00Z	Q21821290	2015	2015
http://www.wikidata.org/entity/Q28944305	Glaucium alakirensis (Papaveraceae), a new species from Southern Anatolia, Turkey	2017-02-10T00:00:00Z	Q22107806	2016	2017
http://www.wikidata.org/entity/Q43296387	A new species of Clivia (Amaryllidaceae) endemic to the Pondoland Centre of Endemism, South Africa	2004-11-01T00:00:00Z	Q22109096	2004	2004
http://www.wikidata.org/entity/Q22222696	A revision of the genus Osmoxylon (Araliaceae) in Palau, including two new species	2016-01-12T00:00:00Z	Q22222729	2016	2016
http://www.wikidata.org/entity/Q21973801	Impatiens tianlinensis (Balsaminaceae),  a new species from Guangxi, China	2015-09-25T00:00:00Z	Q22222844	2015	2015
http://www.wikidata.org/entity/Q21973808	Impatiens kingdon-wardii (Balsaminaceae), a new species from Mt. Victoria (Natma Taung), Myanmar	2015-11-11T00:00:00Z	Q22222864	2015	2015
http://www.wikidata.org/entity/Q46744257	High-temperature adult-plant (HTAP) stripe rust resistance gene Yr36 from Triticum turgidum ssp. dicoccoides is closely linked to the grain protein content locus Gpc-B1.	2005-10-06T00:00:00Z	Q22277627	2002	2019
http://www.wikidata.org/entity/Q22268822	Homalium glandulosum (Salicaceae), a new species from Vu Quang National Park, North Central Vietnam	2016-01-12T00:00:00Z	Q22338216	2016	2016
http://www.wikidata.org/entity/Q22268822	Homalium glandulosum (Salicaceae), a new species from Vu Quang National Park, North Central Vietnam	2016-01-12T00:00:00Z	Q22338224	2016	2016
http://www.wikidata.org/entity/Q21192509	New lepidium (brassicaceae) from new zealand.	2013-06-17T00:00:00Z	Q22668626	2008	2018
http://www.wikidata.org/entity/Q56119440	A revision of the Old World Black Nightshades (Morelloid clade of Solanum L., Solanaceae)	2018-07-25T00:00:00Z	Q22668649	2018	2018
http://www.wikidata.org/entity/Q28728483	In and out of Madagascar: dispersal to peripheral islands, insular speciation and diversification of Indian Ocean daisy trees (Psiadia, Asteraceae)	2012-01-01T00:00:00Z	Q22668770	2010	2019
http://www.wikidata.org/entity/Q22696443	Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs	2016-01-08T00:00:00Z	Q22696480	2016	2016
http://www.wikidata.org/entity/Q22696443	Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs	2016-01-08T00:00:00Z	Q22696481	2016	2016
http://www.wikidata.org/entity/Q22976306	Solanum watneyi, a new bush tomato species from the Northern Territory, Australia named for Mark Watney of the book and film “The Martian”	2016-02-25T00:00:00Z	Q22976825	2016	2016
http://www.wikidata.org/entity/Q22986610	Five new species and a new combination in Cyperaceae from the Kimberley region of Western Australia	2015-11-03T00:00:00Z	Q22986594	2015	2015
http://www.wikidata.org/entity/Q22942966	A taxonomic backbone for the global synthesis of species diversity in the angiosperm order Caryophyllales	2015-09-01T00:00:00Z	Q23020312	2009	2015
http://www.wikidata.org/entity/Q33576661	Distribution of flower morphs, ploidy level and sexual reproduction of the invasive weed Oxalis pes-caprae in the western area of the Mediterranean region.	2007-01-11T00:00:00Z	Q25802819	2006	2018
http://www.wikidata.org/entity/Q21030633	Towards resolving the complete fern tree of life	2011-01-01T00:00:00Z	Q26712049	2009	2015
http://www.wikidata.org/entity/Q43296387	A new species of Clivia (Amaryllidaceae) endemic to the Pondoland Centre of Endemism, South Africa	2004-11-01T00:00:00Z	Q26712090	2004	2004
http://www.wikidata.org/entity/Q43296387	A new species of Clivia (Amaryllidaceae) endemic to the Pondoland Centre of Endemism, South Africa	2004-11-01T00:00:00Z	Q26712091	2004	2004
http://www.wikidata.org/entity/Q43296387	A new species of Clivia (Amaryllidaceae) endemic to the Pondoland Centre of Endemism, South Africa	2004-11-01T00:00:00Z	Q26712095	2004	2004
http://www.wikidata.org/entity/Q33462198	Towards a more robust molecular phylogeny of Chinese Apiaceae subfamily Apioideae: additional evidence from nrDNA ITS and cpDNA intron (rpl16 and rps16) sequences.	2009-06-06T00:00:00Z	Q26712201	2009	2009
http://www.wikidata.org/entity/Q56427452	A Revision of Solanum Section Lathyrocarpum (the Carolinense Clade, Solanaceae)	2015-10-01T00:00:00Z	Q26712311	2015	2015
http://www.wikidata.org/entity/Q28550549	Towards an integrated phylogenetic classification of the Tremellomycetes	2015-06-01T00:00:00Z	Q26712439	2009	2017
http://www.wikidata.org/entity/Q28608391	Complete chloroplast and ribosomal sequences for 30 accessions elucidate evolution of Oryza AA genome species	2015-10-28T00:00:00Z	Q26712733	1999	2018
http://www.wikidata.org/entity/Q23304645	Tillandsia religiosa, a new species from the state of Morelos, México	2014-10-29T00:00:00Z	Q26712838	2014	2018
http://www.wikidata.org/entity/Q23304645	Tillandsia religiosa, a new species from the state of Morelos, México	2014-10-29T00:00:00Z	Q26712837	2014	2014
http://www.wikidata.org/entity/Q28742387	Consistent phenological shifts in the making of a biodiversity hotspot: the Cape flora	2011-02-08T00:00:00Z	Q26712855	1990	2012
http://www.wikidata.org/entity/Q22942966	A taxonomic backbone for the global synthesis of species diversity in the angiosperm order Caryophyllales	2015-09-01T00:00:00Z	Q26712882	2015	2015
http://www.wikidata.org/entity/Q22992168	Phylogenetic position and taxonomy of the enigmatic Orobanche krylowii (Orobanchaceae), a predominatly Asian species newly found in Albania (SE Europe)	2013-10-11T00:00:00Z	Q26712909	2006	2018
http://www.wikidata.org/entity/Q33434151	Reticulate evolution on a mosaic of soils: diversification of the New Caledonian endemic genus Codia (Cunoniaceae).	2009-04-14T00:00:00Z	Q26713056	2009	2013
http://www.wikidata.org/entity/Q33261011	Late Quaternary history of Hippophaë rhamnoides L. (Elaeagnaceae) inferred from chalcone synthase intron (Chsi) sequences and chloroplast DNA variation.	2006-11-01T00:00:00Z	Q26713170	1992	2016
http://www.wikidata.org/entity/Q28372507	Bulbophyllum kuanwuensis (Orchidaceae), a New Species in Taiwan	2006-03-16T00:00:00Z	Q26713300	2006	2006
http://www.wikidata.org/entity/Q28944420	A new species of Billolivia (Gesneriaceae) from Central Vietnam	2017-01-06T00:00:00Z	Q26713325	2017	2017
http://www.wikidata.org/entity/Q33282881	Genetic relationship between Coptotermes gestroi and Coptotermes vastator (Isoptera: Rhinotermitidae).	2007-04-01T00:00:00Z	Q26713359	2007	2017
